@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40-weka.filters.unsupervised.attribute.Remove-R1-3,7-9'

@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,0
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
11.402,18,16,12.728,18,18,0,0,0,0,0,0,0,2
10.817,18,15,12.728,18,18,0,0,0,0,0,0,0,2
10.296,18,14,12.728,18,18,0,0,0,0,0,0,0,2
9.849,18,13,12.728,18,18,0,0,0,0,0,0,0,2
8.544,17,12,12.728,18,18,0,0,0,0,0,0,0,2
7.071,16,10,12.728,18,18,0,0,0,0,0,0,0,2
7,16,9,9,18,9,0,0,0,1,0,0,0,2
7,16,9,9,18,9,0,0,0,1,1,0,0,2
6,15,9,8,17,9,0,0,0,1,1,1,0,2
6,15,9,8,17,9,0,0,0,1,1,1,0,2
6,15,9,8,17,9,0,0,0,1,1,1,0,2
5,14,9,7,16,9,0,0,0,1,1,1,0,2
5,14,9,7,16,9,0,0,0,1,1,1,0,2
5,14,9,7,16,9,0,0,0,1,1,1,0,2
4,13,9,7,16,9,0,0,0,1,1,1,0,2
3,12,9,6,15,9,0,0,0,1,1,1,0,2
3,12,9,6,15,9,0,0,0,1,1,1,0,2
3,12,9,6,15,9,0,0,0,1,1,1,0,2
2,11,9,5,14,9,1,0,0,1,1,1,0,2
2,11,9,5,14,9,1,0,0,1,0,0,0,3
2.236,11,10,8,17,9,0,0,1,0,0,0,0,3
2.236,10,11,12.728,18,18,0,0,0,0,0,0,0,3
2.236,10,11,12.728,18,18,0,0,0,0,0,0,0,2
3.162,10,12,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,5,14,9,0,0,0,1,0,0,0,2
12.728,18,18,5,14,9,0,0,0,1,0,0,0,2
12.728,18,18,2,11,9,0,1,0,1,0,0,0,2
12.728,18,18,1,10,9,0,1,0,1,1,0,0,2
12.728,18,18,1,10,9,0,1,0,1,1,1,0,2
12.728,18,18,1,10,9,0,1,0,1,0,0,0,3
12.728,18,18,4,13,9,0,0,0,1,0,0,0,3
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,3
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,3,12,9,0,0,0,1,0,0,0,2
12.728,18,18,3,12,9,0,0,0,1,0,0,0,2
12.728,18,18,2,11,9,0,1,0,1,1,0,0,2
12.728,18,18,2,11,9,0,1,0,1,1,1,0,2
12.728,18,18,2,11,9,0,1,0,1,0,0,0,3
12.728,18,18,9,18,9,0,0,0,1,0,0,0,3
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,3
9,18,9,12.728,18,18,0,0,0,0,0,0,0,2
9.055,18,10,12.728,18,18,0,0,0,0,0,0,0,2
8,17,9,12.728,18,18,0,0,0,0,0,0,0,2
8,17,9,12.728,18,18,0,0,0,0,0,0,0,2
8,17,9,12.728,18,18,0,0,0,0,0,0,0,2
7.071,16,8,6,15,9,0,0,0,0,0,0,0,2
7.071,16,8,6,15,9,0,0,0,0,0,0,0,2
7.071,16,8,6,15,9,0,0,0,0,1,0,1,2
7.071,16,8,6,15,9,0,0,0,0,1,1,1,2
5.385,14,7,5,14,9,0,0,0,1,0,1,0,2
5.385,14,7,5,14,9,0,0,0,1,1,0,0,2
5.385,14,7,5,14,9,0,0,0,1,1,1,0,2
4.472,13,7,4,13,9,0,0,0,1,1,1,0,2
4.472,13,7,4,13,9,0,0,0,1,1,1,0,2
4.472,13,7,4,13,9,0,0,0,1,1,1,0,2
3.606,12,7,3,12,9,0,0,0,1,1,1,0,2
3.606,12,7,3,12,9,0,0,0,1,1,1,0,2
3.606,12,7,3,12,9,0,0,0,1,1,1,0,2
2.236,10,7,2,11,9,0,1,0,1,1,1,0,2
2.236,10,7,2,11,9,0,1,0,1,0,0,0,3
1.414,10,8,2,11,9,1,1,0,1,0,0,0,3
12.728,18,18,6,15,9,0,0,0,1,0,0,0,3
12.728,18,18,8.602,14,2,0,0,0,0,0,0,0,3
12.728,18,18,8.602,14,2,0,0,0,0,0,0,0,2
9.849,18,13,8.062,13,2,0,0,0,0,0,0,0,2
9.849,18,13,8.062,13,2,0,0,0,0,0,0,0,2
9.849,18,13,8.062,13,2,0,0,0,0,0,0,0,2
8.544,17,12,4,13,9,0,0,0,1,0,0,0,2
9.487,18,12,4,13,9,0,0,0,1,1,0,0,2
9.487,18,12,4,13,9,0,0,0,1,1,1,0,2
8.544,17,12,3,12,9,0,0,0,1,1,1,0,2
8.544,17,12,3,12,9,0,0,0,1,1,1,0,2
8.544,17,12,3,12,9,0,0,0,1,1,1,0,2
7.616,16,12,2,11,9,0,1,0,1,1,1,0,2
7.616,16,12,2,11,9,0,1,0,1,0,0,0,3
8.062,16,13,7.071,10,2,0,0,0,1,0,0,0,3
7.81,15,14,6.083,10,3,0,0,0,0,0,0,0,3
7.81,15,14,6.083,10,3,0,0,0,0,0,0,0,2
7.81,14,15,7.071,16,8,0,0,0,0,0,0,0,2
7.071,14,14,7.28,16,7,0,0,0,0,0,0,0,2
7.071,14,14,7.28,16,7,0,0,0,0,0,0,0,2
6.403,13,14,6.325,15,7,0,0,0,0,0,0,0,2
5,12,13,6.708,15,6,0,0,0,0,0,0,0,2
5,12,13,6.708,15,6,0,0,0,0,0,0,0,2
4.472,11,13,5.831,14,6,0,0,0,0,1,0,1,2
3.606,11,12,6.403,14,5,0,0,0,1,0,1,0,2
3.606,11,12,6.403,14,5,0,0,0,1,1,0,1,2
3.162,10,12,5.657,13,5,0,0,0,0,1,1,1,2
3.162,10,12,5.657,13,5,0,0,0,0,1,1,1,2
3.162,10,12,5.657,13,5,0,0,0,0,1,1,1,2
8.062,17,10,5,12,5,0,0,0,0,1,1,1,2
8,17,9,5.831,12,4,0,0,0,0,0,1,0,2
8.062,17,10,5.831,12,4,0,0,0,0,0,0,0,2
7,16,9,6.325,11,3,0,0,0,1,0,0,0,2
7,16,9,6.325,11,3,0,0,0,1,0,0,0,2
7,16,9,6.325,11,3,0,0,0,1,1,0,0,2
6,15,9,6.083,10,3,0,0,0,1,1,1,0,2
6,15,9,6.083,10,3,0,0,0,1,1,1,0,2
5,14,9,6.083,10,3,0,0,0,1,1,1,0,2
4,13,9,6,15,9,0,0,0,1,1,1,1,2
4,13,9,6,15,9,0,0,0,1,1,1,1,2
4.123,13,10,6,15,9,0,0,0,1,1,1,1,2
3.162,12,10,5,14,9,0,0,0,0,1,1,1,2
3.162,12,10,5,14,9,0,0,0,0,1,1,1,2
3.162,12,10,5,14,9,0,0,0,0,1,1,1,2
2.236,11,10,4,13,9,0,0,1,0,1,1,1,2
2,11,9,3,12,9,1,0,0,1,0,1,0,2
1,10,9,3,12,9,1,0,0,1,0,0,0,3
12.728,18,18,2,11,9,0,1,0,1,0,0,0,3
12.728,18,18,3,12,9,0,0,0,1,0,0,0,3
12.728,18,18,5.385,14,7,0,0,0,0,0,0,0,3
12.728,18,18,4.472,13,7,0,0,0,1,0,0,0,2
12.728,18,18,4.472,13,7,0,0,0,1,0,0,0,2
9.22,18,11,4.123,13,8,0,0,0,0,0,0,0,2
8.062,17,10,3.606,12,7,0,0,0,1,0,0,0,2
8.062,17,10,3.606,12,7,0,0,0,1,0,0,0,2
