@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40'

@attribute nearestEnemyLeftDistance numeric
@attribute nearestEnemyLef_X numeric
@attribute nearestEnemyLeft_Y numeric
@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockLeftDistance numeric
@attribute nearestBlockLeft_X numeric
@attribute nearestBlockLeft_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,0
12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,11.402,18,16,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,10.817,18,15,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,10.296,18,14,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,9.849,18,13,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,8.544,17,12,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,7.071,16,10,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,7,16,9,12.728,0,0,9,18,9,0,0,0,1,0,0,0,2
12.728,0,0,7,16,9,12.728,0,0,9,18,9,0,0,0,1,1,0,0,2
12.728,0,0,6,15,9,12.728,0,0,8,17,9,0,0,0,1,1,1,0,2
12.728,0,0,6,15,9,12.728,0,0,8,17,9,0,0,0,1,1,1,0,2
12.728,0,0,6,15,9,12.728,0,0,8,17,9,0,0,0,1,1,1,0,2
12.728,0,0,5,14,9,12.728,0,0,7,16,9,0,0,0,1,1,1,0,2
12.728,0,0,5,14,9,12.728,0,0,7,16,9,0,0,0,1,1,1,0,2
12.728,0,0,5,14,9,12.728,0,0,7,16,9,0,0,0,1,1,1,0,2
12.728,0,0,4,13,9,12.728,0,0,7,16,9,0,0,0,1,1,1,0,2
12.728,0,0,3,12,9,12.728,0,0,6,15,9,0,0,0,1,1,1,0,2
12.728,0,0,3,12,9,12.728,0,0,6,15,9,0,0,0,1,1,1,0,2
12.728,0,0,3,12,9,12.728,0,0,6,15,9,0,0,0,1,1,1,0,2
12.728,0,0,2,11,9,12.728,0,0,5,14,9,1,0,0,1,1,1,0,2
12.728,0,0,2,11,9,12.728,0,0,5,14,9,1,0,0,1,0,0,0,3
12.728,0,0,2.236,11,10,12.728,0,0,8,17,9,0,0,1,0,0,0,0,3
12.728,0,0,2.236,10,11,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,3
12.728,0,0,2.236,10,11,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,3.162,10,12,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
2.236,8,11,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
2.236,8,11,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
2.236,8,11,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
2.236,7,10,12.728,18,18,12.728,0,0,5,14,9,0,0,0,1,0,0,0,2
2.236,7,10,12.728,18,18,12.728,0,0,5,14,9,0,0,0,1,0,0,0,2
2,7,9,12.728,18,18,12.728,0,0,2,11,9,0,1,0,1,0,0,0,2
