@relation T3HumanAgent-training-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-B5-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R4-364

@attribute marioXpos {'\'(-inf-630.2842]\'','\'(630.2842-1228.5684]\'','\'(1228.5684-1826.8526]\'','\'(1826.8526-2425.1368]\'','\'(2425.1368-inf)\''}
@attribute marioYpos {'\'(-inf-70.2]\'','\'(70.2-108.4]\'','\'(108.4-146.6]\'','\'(146.6-184.8]\'','\'(184.8-inf)\''}
@attribute intermediateReward {'\'(-inf-321]\'','\'(321-643]\'','\'(643-965]\'','\'(965-1287]\'','\'(1287-inf)\''}
@attribute coinsObserved {'\'(-inf-6]\'','\'(6-12]\'','\'(12-18]\'','\'(18-24]\'','\'(24-inf)\''}
@attribute blocksObserved {'\'(-inf-4.8]\'','\'(4.8-9.6]\'','\'(9.6-14.4]\'','\'(14.4-19.2]\'','\'(19.2-inf)\''}
@attribute enemiesObserved {'\'(-inf-14]\'','\'(14-28]\'','\'(28-42]\'','\'(42-56]\'','\'(56-inf)\''}
@attribute coins5TicksAgo {'\'(-inf-18.6]\'','\'(18.6-37.2]\'','\'(37.2-55.8]\'','\'(55.8-74.4]\'','\'(74.4-inf)\''}
@attribute kills5TicksAgo {'\'(-inf-3.8]\'','\'(3.8-7.6]\'','\'(7.6-11.4]\'','\'(11.4-15.2]\'','\'(15.2-inf)\''}
@attribute coinsFuture6Ticks {'\'(-inf-0.8]\'','\'(0.8-1.6]\'','\'(1.6-2.4]\'','\'(2.4-3.2]\'','\'(3.2-inf)\''}
@attribute killsFuture6Ticks {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-inf)\''}
@attribute coinsFuture12Ticks {'\'(-inf-1.6]\'','\'(1.6-3.2]\'','\'(3.2-4.8]\'','\'(4.8-6.4]\'','\'(6.4-inf)\''}
@attribute killsFuture12Ticks {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-inf)\''}
@attribute coinsFuture24Ticks {'\'(-inf-2.4]\'','\'(2.4-4.8]\'','\'(4.8-7.2]\'','\'(7.2-9.6]\'','\'(9.6-inf)\''}
@attribute killsFuture24Ticks {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-inf)\''}
@attribute flowersDevoured {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-inf)\''}
@attribute killsByFire {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-inf)\''}
@attribute killsByShell {'\'All\''}
@attribute killsByStomp {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-inf)\''}
@attribute killsTotal {'\'(-inf-3.8]\'','\'(3.8-7.6]\'','\'(7.6-11.4]\'','\'(11.4-15.2]\'','\'(15.2-inf)\''}
@attribute marioMode {'\'(-inf-1.2]\'','\'(1.2-1.4]\'','\'(1.4-1.6]\'','\'(1.6-1.8]\'','\'(1.8-inf)\''}
@attribute marioStatus {'\'All\''}
@attribute mushroomsDevoured {'\'All\''}
@attribute coinsGained {'\'(-inf-19]\'','\'(19-38]\'','\'(38-57]\'','\'(57-76]\'','\'(76-inf)\''}
@attribute timeLeft {'\'(-inf-146.2]\'','\'(146.2-159.4]\'','\'(159.4-172.6]\'','\'(172.6-185.8]\'','\'(185.8-inf)\''}
@attribute timeSpent {'\'(-inf-13.2]\'','\'(13.2-26.4]\'','\'(26.4-39.6]\'','\'(39.6-52.8]\'','\'(52.8-inf)\''}
@attribute hiddenBlocksFound {'\'All\''}
@attribute distancePassedCells {'\'(-inf-39.2]\'','\'(39.2-76.4]\'','\'(76.4-113.6]\'','\'(113.6-150.8]\'','\'(150.8-inf)\''}
@attribute distancePassedPhys {'\'(-inf-630.2]\'','\'(630.2-1228.4]\'','\'(1228.4-1826.6]\'','\'(1826.6-2424.8]\'','\'(2424.8-inf)\''}

@data
'\'(-inf-630.2842]\'','\'(-inf-70.2]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(-inf-70.2]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(-inf-70.2]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(-inf-70.2]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(-inf-70.2]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(-inf-70.2]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(70.2-108.4]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(70.2-108.4]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(108.4-146.6]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(108.4-146.6]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(108.4-146.6]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(146.6-184.8]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(146.6-184.8]\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(184.8-inf)\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(184.8-inf)\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
'\'(-inf-630.2842]\'','\'(184.8-inf)\'','\'(-inf-321]\'','\'(-inf-6]\'','\'(-inf-4.8]\'','\'(-inf-14]\'','\'(-inf-18.6]\'','\'(-inf-3.8]\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.2]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-0.2]\'','\'(-inf-1.8]\'','\'All\'','\'(-inf-2]\'','\'(-inf-3.8]\'','\'(1.8-inf)\'','\'All\'','\'All\'','\'(-inf-19]\'','\'(185.8-inf)\'','\'(-inf-13.2]\'','\'All\'','\'(-inf-39.2]\'','\'(-inf-630.2]\''
